MATCH_ID;MINUTE;HOME_SCORE;AWAY_SCORE;ACTION_TYPE;PLAYER;TEAM
FR270559593411;1.0;0;0;Start of first half;;
FR270559593411;12.0;0;3;Penalty goal;Thomas Ramos;Stade Toulousain
FR270559593411;28.0;5;3;Try;Ulupano Seuteni;Bordeaux Begles
FR270559593411;29.0;7;3;Conversion;Ulupano Seuteni;Bordeaux Begles
FR270559593411;32.0;7;8;Try;Emmanuel Meafou;Stade Toulousain
FR270559593411;34.0;7;10;Conversion;Thomas Ramos;Stade Toulousain
FR270559593411;37.0;7;13;Penalty goal;Thomas Ramos;Stade Toulousain
FR270559593411;42.0;7;13;End of first half;;
FR270559593411;40.0;7;13;Start of second half;;
FR270559593411;40.0;7;13;Substitute off;Joseph Dweba;Bordeaux Begles
FR270559593411;40.0;7;13;Substitute on;Clément Maynadier;Bordeaux Begles
FR270559593411;41.0;7;13;Substitute off;Jefferson Poirot;Bordeaux Begles
FR270559593411;41.0;7;13;Substitute on;Thierry Paiva;Bordeaux Begles
FR270559593411;41.0;7;13;Substitute on;Ben Tameifuna;Bordeaux Begles
FR270559593411;41.0;7;13;Substitute off;Vadim Cobilas;Bordeaux Begles
FR270559593411;41.0;7;13;Substitute off;David Ainu'u;Stade Toulousain
FR270559593411;41.0;7;13;Substitute on;Charlie Faumuina;Stade Toulousain
FR270559593411;41.0;7;13;Substitute off;Emmanuel Meafou;Stade Toulousain
FR270559593411;41.0;7;13;Substitute on;Jerome Kaino;Stade Toulousain
FR270559593411;41.0;7;13;Substitute on;Kane Douglas;Bordeaux Begles
FR270559593411;41.0;7;13;Substitute off;Thomas Jolmes;Bordeaux Begles
FR270559593411;46.0;10;13;Penalty goal;Ulupano Seuteni;Bordeaux Begles
FR270559593411;50.0;10;13;Yellow card;Cyril Cazeaux;Bordeaux Begles
FR270559593411;50.0;10;16;Penalty goal;Thomas Ramos;Stade Toulousain
FR270559593411;55.0;10;16;Substitute off;Rodrigue Neti;Stade Toulousain
FR270559593411;55.0;10;16;Substitute on;Cyril Baille;Stade Toulousain
FR270559593411;55.0;10;16;Substitute off;Romain Ntamack;Stade Toulousain
FR270559593411;55.0;10;16;Substitute on;Lucas Tauzin;Stade Toulousain
FR270559593411;55.0;10;16;Substitute off;Ulupano Seuteni;Bordeaux Begles
FR270559593411;55.0;10;16;Substitute on;Matthieu Jalibert;Bordeaux Begles
FR270559593411;55.0;10;16;Substitute off;Maxime Lucu;Bordeaux Begles
FR270559593411;55.0;10;16;Substitute on;Yann Lesgourgues;Bordeaux Begles
FR270559593411;58.0;10;16;Substitute on;Jefferson Poirot;Bordeaux Begles
FR270559593411;58.0;10;16;Substitute off;Thierry Paiva;Bordeaux Begles
FR270559593411;59.0;10;16;Substitute on;Guillaume Marchand;Stade Toulousain
FR270559593411;59.0;10;16;Substitute off;Julien Marchand;Stade Toulousain
FR270559593411;63.0;10;16;Substitute off;Guido Petti Pagadizabal;Bordeaux Begles
FR270559593411;63.0;10;16;Substitute on;Louis Picamoles;Bordeaux Begles
FR270559593411;67.0;10;16;Substitute on;Jean-Baptiste Dubie;Bordeaux Begles
FR270559593411;67.0;10;16;Substitute off;Pablo Uberti;Bordeaux Begles
