MATCH_ID;SAISON_ID;COMPETITION_ID;MATCHDAY;HOME_TEAM;AWAY_TEAM;HOME_SCORE;AWAY_SCORE;STADIUM;DATE_TIME;DATE_DAY
FR270559593411;S20202021;FR270559;26.0;Bordeaux Begles;Stade Toulousain;10.0;21.0;Stade Chaban-Delmas;3:05 PM;June 5 2021
FR270559593410;S20202021;FR270559;26.0;Racing 92;Brive;55.0;12.0;Paris La Defense Arena;3:05 PM;June 5 2021
FR270559593409;S20202021;FR270559;26.0;Pau;Montpellier Herault;41.0;25.0;Stade du Hameau;3:05 PM;June 5 2021
FR270559593408;S20202021;FR270559;26.0;Lyon;Agen;52.0;7.0;Matmut Stadium de Gerland;3:05 PM;June 5 2021
FR270559593407;S20202021;FR270559;26.0;Clermont Auvergne;La Rochelle;25.0;20.0;Stade Marcel Michelin;3:05 PM;June 5 2021
FR270559593406;S20202021;FR270559;26.0;Castres Olympique;Toulon;46.0;24.0;Stade Pierre Fabre;3:05 PM;June 5 2021
FR270559593405;S20202021;FR270559;26.0;Bayonne;Stade Francais Paris;9.0;12.0;Stade Jean Dauger;3:05 PM;June 5 2021
FR270559593404;S20202021;FR270559;25.0;Stade Toulousain;Clermont Auvergne;36.0;27.0;Stade Ernest-Wallon;3:05 PM;May 29 2021
FR270559593403;S20202021;FR270559;25.0;Stade Francais Paris;Lyon;46.0;27.0;Stade Jean Bouin;2:45 PM;May 28 2021
FR270559593402;S20202021;FR270559;25.0;Montpellier Herault;Bayonne;23.0;19.0;GGL Stadium;11:00 AM;May 29 2021
FR270559593401;S20202021;FR270559;25.0;La Rochelle;Pau;51.0;27.0;Stade Marcel-Deflandre;11:00 AM;May 29 2021
FR270559593400;S20202021;FR270559;25.0;Brive;Castres Olympique;28.0;33.0;Stade Amedee-Domenech;11:00 AM;May 29 2021
FR270559593399;S20202021;FR270559;25.0;Agen;Racing 92;14.0;54.0;Alfred Armandie;11:00 AM;May 29 2021
FR270559593398;S20202021;FR270559;25.0;Toulon;Bordeaux Begles;25.0;19.0;Stade Mayol;8:45 AM;May 29 2021
FR270559593397;S20202021;FR270559;24.0;Clermont Auvergne;Toulon;25.0;16.0;Stade Marcel Michelin;3:05 PM;May 15 2021
FR270559593396;S20202021;FR270559;24.0;Stade Toulousain;Bayonne;28.0;32.0;Stade Ernest-Wallon;11:00 AM;May 15 2021
FR270559593395;S20202021;FR270559;24.0;Pau;Racing 92;29.0;35.0;Stade du Hameau;2:45 PM;May 14 2021
FR270559593394;S20202021;FR270559;24.0;Stade Francais Paris;Montpellier Herault;32.0;10.0;Stade Jean Bouin;11:00 AM;May 15 2021
FR270559593393;S20202021;FR270559;24.0;Lyon;Brive;24.0;7.0;Matmut Stadium de Gerland;11:00 AM;May 15 2021
