MATCH_ID;TEAM;PLAYER;T;TA;CG;PG;DGC;PTS;P;R;MR;CB;DB;O;TC;Tackles;MT;LW;PC;YC;RC
FR270559594206;Perpignan;http://en.espn.co.uk/scrum/rugby/player/36847.html?source=opta;0;0;3;2;0;12;3;7;36;0;0;1;0;0;2;0;1;0;0
FR270559594206;Perpignan;Bautista Delguy;0;0;0;0;0;0;4;6;42;0;5;0;0;4;2;0;1;0;0
FR270559594206;Perpignan;Afusipa Faha Ivalu Taumoepeau;0;0;0;0;0;0;5;9;16;1;1;3;0;9;3;0;0;0;0
FR270559594206;Perpignan;Jeronimo de la Fuente;0;0;0;0;0;0;4;6;31;0;1;0;0;6;3;0;1;0;0
FR270559594206;Perpignan;Mathieu Acebes;1;0;0;0;0;5;3;11;71;1;4;0;1;8;1;0;2;0;0
FR270559594206;Perpignan;Tristan Tedder;0;0;0;0;0;0;18;13;54;1;5;1;1;6;2;0;1;0;0
FR270559594206;Perpignan;Tom Ecochard;0;1;0;0;0;0;61;2;3;0;0;0;0;8;0;0;0;0;0
FR270559594206;Perpignan;Sacha Lotrian;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
FR270559594206;Perpignan;Leon Seilala Lam;0;0;0;0;0;0;7;6;39;1;3;2;1;5;2;10;0;0;0
FR270559594206;Perpignan;Siosiua Halanukonuka;0;0;0;0;0;0;0;3;9;0;0;0;0;3;0;0;2;0;0
FR270559594206;Perpignan;Tristan Labouteley;0;0;0;0;0;0;6;4;8;0;0;0;1;15;3;0;0;0;0
FR270559594206;Perpignan;Andrei Mahu;0;0;0;0;0;0;4;1;3;0;0;0;1;1;0;0;0;0;0
FR270559594206;Perpignan;Piula Baloiloi Faasalele;2;0;0;0;0;10;1;12;32;0;3;0;0;10;1;0;0;0;0
FR270559594206;Perpignan;Alan Brazo;0;0;0;0;0;0;4;3;11;1;1;0;1;15;1;0;2;0;0
FR270559594206;Perpignan;Genesis Mamea;0;0;0;0;0;0;1;7;23;0;1;0;0;8;0;0;0;0;0
FR270559594206;Perpignan;http://en.espn.co.uk/scrum/rugby/player/35691.html?source=opta;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
FR270559594206;Perpignan;Xavier Chiocci;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3;1;0
FR270559594206;Perpignan;Shahn Eru;0;0;0;0;0;0;2;4;9;0;0;0;0;6;0;0;0;0;0
FR270559594206;Perpignan;Lucas Bachelier;0;0;0;0;0;0;1;1;2;0;0;0;2;5;0;0;0;0;0
FR270559594206;Perpignan;Matteo Rodor;0;0;0;0;0;0;10;1;8;0;0;0;0;0;0;0;1;0;0
FR270559594206;Perpignan;http://en.espn.co.uk/scrum/rugby/player/35150.html?source=opta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559594206;Perpignan;Alivereti Duguivalu;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0
FR270559594206;Perpignan;Arthur Joly;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1;0;0
FR270559594206;Brive;Joris Jurand;0;0;0;0;0;0;2;8;76;0;2;0;2;5;0;0;1;0;0
FR270559594206;Brive;Setariki Tuicuvu;1;0;0;0;0;5;7;6;53;0;2;1;0;5;3;0;0;0;0
FR270559594206;Brive;Nico Lee;0;0;0;0;0;0;11;5;25;1;2;1;2;6;1;0;0;0;0
FR270559594206;Brive;Guillaume Galletier;0;1;0;0;0;0;7;4;13;0;2;2;0;9;0;0;0;0;0
FR270559594206;Brive;Setareki Bituniyata;0;0;0;0;0;0;4;15;84;0;6;2;2;2;3;0;4;1;0
FR270559594206;Brive;Stuart Olding;0;0;1;1;0;5;17;10;38;0;1;1;0;6;0;0;0;0;0
FR270559594206;Brive;Vasil Lobzhanidze;0;0;0;0;0;0;28;3;12;1;0;2;2;3;0;0;0;0;0
FR270559594206;Brive;Daniel Brennan;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;1;0;0
FR270559594206;Brive;Thomas Acquier;0;0;0;0;0;0;1;5;10;0;0;0;0;9;1;4;0;0;0
FR270559594206;Brive;Luka Japaridze;0;0;0;0;0;0;0;3;4;0;0;0;0;10;3;0;0;0;0
FR270559594206;Brive;Victor Lebas;0;0;0;0;0;0;2;2;0;0;0;0;0;5;2;0;0;0;0
FR270559594206;Brive;Tevita Kasikasi Ratuva;0;0;0;0;0;0;8;5;15;0;2;2;1;13;1;0;2;0;0
FR270559594206;Brive;Retief Marais;0;0;0;0;0;0;1;1;3;0;0;0;0;7;3;0;0;0;0
FR270559594206;Brive;Said Hireche;0;0;0;0;0;0;2;1;5;0;0;0;0;6;0;0;0;0;0
FR270559594206;Brive;So'otala Fa'aso'o;0;0;0;0;0;0;1;10;84;0;3;0;1;7;1;0;0;0;0
