GAME_DAY;MATCH_ID;MINUTE;HOME_SCORE;AWAY_SCORE;ACTION_TYPE;PLAYER;TEAM
26;FR270559593405;1.0;0;0;Start of first half;;
26;FR270559593405;6.0;3;0;Penalty goal;Gaetan Germain;Bayonne
26;FR270559593405;7.0;3;3;Penalty goal;Joris Segonds;Stade Francais Paris
26;FR270559593405;12.0;6;3;Penalty goal;Gaetan Germain;Bayonne
26;FR270559593405;15.0;6;3;Substitute off;Michael Ruru;Bayonne
26;FR270559593405;15.0;6;3;Substitute on;Guillaume Rouet;Bayonne
26;FR270559593405;34.0;6;3;Drop Goal Missed;;
26;FR270559593405;35.0;9;3;Penalty goal;Gaetan Germain;Bayonne
26;FR270559593405;43.0;9;3;End of first half;;
26;FR270559593405;40.0;9;3;Start of second half;;
26;FR270559593405;42.0;9;3;Substitute off;Yoann Maestri;Stade Francais Paris
26;FR270559593405;42.0;9;3;Substitute on;Pierre-Henri Azagoh;Stade Francais Paris
26;FR270559593405;44.0;9;6;Penalty goal;Joris Segonds;Stade Francais Paris
26;FR270559593405;44.0;9;6;Substitute on;Konstantine Mikautadze;Bayonne
26;FR270559593405;44.0;9;6;Substitute off;Guillaume Ducat;Bayonne
26;FR270559593405;51.0;9;9;Penalty goal;Joris Segonds;Stade Francais Paris
26;FR270559593405;51.0;9;9;Substitute on;Jean Monribot;Bayonne
26;FR270559593405;51.0;9;9;Substitute off;Asier Usarraga;Bayonne
26;FR270559593405;51.0;9;9;Substitute off;Arnaud Duputs;Bayonne
26;FR270559593405;51.0;9;9;Substitute on;Filimo Taofifenua;Bayonne
26;FR270559593405;51.0;9;9;Substitute off;Moses Alo-Emile;Stade Francais Paris
26;FR270559593405;51.0;9;9;Substitute on;Vasil Kakovin;Stade Francais Paris
26;FR270559593405;56.0;9;9;Substitute off;James Hall;Stade Francais Paris
26;FR270559593405;56.0;9;9;Substitute on;Arthur Coville;Stade Francais Paris
26;FR270559593405;58.0;9;9;Substitute off;Pablo Matera;Stade Francais Paris
26;FR270559593405;58.0;9;9;Substitute on;Loic Godener;Stade Francais Paris
26;FR270559593405;63.0;9;9;Substitute off;John Ulugia;Bayonne
26;FR270559593405;63.0;9;9;Substitute on;Torsten Van Jaarsveld;Bayonne
26;FR270559593405;63.0;9;9;Substitute off;Manuel Ordas;Bayonne
26;FR270559593405;63.0;9;9;Substitute on;Yan Lestrade;Bayonne
26;FR270559593405;65.0;9;9;Substitute off;Antoine Burban;Stade Francais Paris
26;FR270559593405;65.0;9;9;Substitute on;Pablo Matera;Stade Francais Paris
26;FR270559593405;65.0;9;9;Substitute on;Luc Mousset;Bayonne
26;FR270559593405;65.0;9;9;Substitute off;Sam Nixon;Bayonne
26;FR270559593405;67.0;9;9;Substitute off;Afaesetiti Amosa;Bayonne
26;FR270559593405;67.0;9;9;Substitute on;Asier Usarraga;Bayonne
26;FR270559593405;68.0;9;9;Substitute on;Mathieu De Giovanni;Stade Francais Paris
26;FR270559593405;68.0;9;9;Substitute off;Paul Gabrillagues;Stade Francais Paris
26;FR270559593405;72.0;9;9;Substitute on;Manuel Ordas;Bayonne
26;FR270559593405;72.0;9;9;Substitute off;Theo Costosseque;Bayonne
26;FR270559593405;72.0;9;9;Substitute on;Swan Cormenier;Bayonne
26;FR270559593405;72.0;9;9;Substitute off;Ugo Boniface;Bayonne
26;FR270559593405;74.0;9;12;Penalty goal;Joris Segonds;Stade Francais Paris
26;FR270559593405;75.0;9;12;Substitute off;Luc Mousset;Bayonne
26;FR270559593405;75.0;9;12;Substitute on;Sam Nixon;Bayonne
26;FR270559593405;78.0;9;12;Substitute on;Lucas Da Silva;Stade Francais Paris
26;FR270559593405;78.0;9;12;Substitute off;Silatolu Latu;Stade Francais Paris
26;FR270559593405;79.0;9;12;Substitute on;Paul Gabrillagues;Stade Francais Paris
26;FR270559593405;79.0;9;12;Substitute off;Sekou Macalou;Stade Francais Paris
26;FR270559593405;83.0;9;12;End of second half;;
26;FR270559593406;1.0;0;0;Start of first half;;
26;FR270559593406;2.0;0;5;Try;Louis Carbonel;Toulon
26;FR270559593406;3.0;0;7;Conversion;Louis Carbonel;Toulon
26;FR270559593406;15.0;0;7;Substitute off;Charles Ollivon;Toulon
26;FR270559593406;15.0;0;7;Substitute on;Raphael Lakafia;Toulon
26;FR270559593406;15.0;0;10;Penalty goal;Louis Carbonel;Toulon
26;FR270559593406;21.0;0;15;Try;Eben Etzebeth;Toulon
26;FR270559593406;23.0;0;17;Conversion;Louis Carbonel;Toulon
26;FR270559593406;23.0;0;17;Substitute off;Tom Staniforth;Castres Olympique
26;FR270559593406;23.0;0;17;Substitute on;Loic Jacquet;Castres Olympique
26;FR270559593406;26.0;5;17;Try;Gaetan Barlot;Castres Olympique
26;FR270559593406;26.0;7;17;Conversion;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;33.0;7;17;Yellow card;Anthony Etrillard;Toulon
26;FR270559593406;34.0;12;17;Try;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;35.0;14;17;Conversion;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;41.0;17;17;Penalty goal;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;41.0;17;17;End of first half;;
26;FR270559593406;40.0;17;17;Start of second half;;
26;FR270559593406;40.0;17;17;Substitute off;Rory Kockott;Castres Olympique
26;FR270559593406;40.0;17;17;Substitute on;Santiago Arata;Castres Olympique
26;FR270559593406;45.0;22;17;Try;Thomas Combezou;Castres Olympique
26;FR270559593406;46.0;24;17;Conversion;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;49.0;29;17;Try;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;50.0;29;17;Substitute off;Facundo Isa;Toulon
26;FR270559593406;50.0;29;17;Substitute on;Julien Ory;Toulon
26;FR270559593406;50.0;31;17;Conversion;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;52.0;31;17;Substitute on;Baptiste Delaporte;Castres Olympique
26;FR270559593406;52.0;31;17;Substitute off;Mathieu Babillot;Castres Olympique
26;FR270559593406;53.0;31;22;Try;Romain Taofifenua;Toulon
26;FR270559593406;54.0;31;24;Conversion;Louis Carbonel;Toulon
26;FR270559593406;56.0;34;24;Penalty goal;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;57.0;34;24;Substitute on;Sebastien Taofifenua;Toulon
26;FR270559593406;57.0;34;24;Substitute off;Jean-Baptiste Gros;Toulon
26;FR270559593406;57.0;34;24;Substitute off;Romain Taofifenua;Toulon
26;FR270559593406;57.0;34;24;Substitute on;Adrien Warion;Toulon
26;FR270559593406;57.0;34;24;Substitute on;Anthony Belleau;Toulon
26;FR270559593406;57.0;34;24;Substitute off;Isaia Toeava;Toulon
26;FR270559593406;61.0;34;24;Substitute off;Julien Ory;Toulon
26;FR270559593406;61.0;34;24;Substitute on;Facundo Isa;Toulon
26;FR270559593406;61.0;34;24;Substitute on;Maama Vaipulu;Castres Olympique
26;FR270559593406;61.0;34;24;Substitute off;Tyler Ardron;Castres Olympique
26;FR270559593406;61.0;34;24;Substitute off;Wilfrid Hounkpatin;Castres Olympique
26;FR270559593406;61.0;34;24;Substitute on;Levan Chilachava;Castres Olympique
26;FR270559593406;62.0;34;24;Yellow card;Maama Vaipulu;Castres Olympique
26;FR270559593406;67.0;34;24;Substitute on;Julius Nostadt;Castres Olympique
26;FR270559593406;67.0;34;24;Substitute off;Antoine Tichit;Castres Olympique
26;FR270559593406;67.0;34;24;Substitute off;Anthony Etrillard;Toulon
26;FR270559593406;67.0;34;24;Substitute on;Bastien Soury;Toulon
26;FR270559593406;67.0;34;24;Substitute off;Beka Gigashvili;Toulon
26;FR270559593406;67.0;34;24;Substitute on;Florian Fresia;Toulon
26;FR270559593406;71.0;34;24;Substitute on;Tyler Ardron;Castres Olympique
26;FR270559593406;71.0;34;24;Substitute off;Florent Vanverberghe;Castres Olympique
26;FR270559593406;71.0;34;24;Substitute off;Gaetan Barlot;Castres Olympique
26;FR270559593406;71.0;34;24;Substitute on;Paula Ngauamo;Castres Olympique
26;FR270559593406;71.0;34;24;Substitute off;Eben Etzebeth;Toulon
26;FR270559593406;71.0;34;24;Substitute on;Romain Taofifenua;Toulon
26;FR270559593406;74.0;39;24;Try;Geoffrey Palis;Castres Olympique
26;FR270559593406;75.0;41;24;Conversion;Benjamin Urdapilleta;Castres Olympique
26;FR270559593406;76.0;41;24;Substitute on;Adrea Cocagi;Castres Olympique
26;FR270559593406;76.0;41;24;Substitute off;Vilimoni Botitu;Castres Olympique
26;FR270559593406;80.0;46;24;Try;Filipo Nakosi;Castres Olympique
26;FR270559593406;82.0;46;24;End of second half;;
26;FR270559593407;1.0;0;0;Start of first half;;
26;FR270559593407;2.0;3;0;Penalty goal;Morgan Parra;Clermont Auvergne
26;FR270559593407;11.0;3;5;Try;Dillyn Leyds;La Rochelle
26;FR270559593407;12.0;3;7;Conversion;Jules Lebail;La Rochelle
26;FR270559593407;20.0;3;7;Substitute off;Reda Wardi;La Rochelle
26;FR270559593407;20.0;3;7;Substitute on;Dany Priso;La Rochelle
26;FR270559593407;20.0;6;7;Penalty goal;Morgan Parra;Clermont Auvergne
26;FR270559593407;25.0;9;7;Penalty goal;Morgan Parra;Clermont Auvergne
26;FR270559593407;28.0;9;10;Penalty goal;Jules Lebail;La Rochelle
26;FR270559593407;30.0;12;10;Penalty goal;Morgan Parra;Clermont Auvergne
26;FR270559593407;34.0;15;10;Penalty goal;Morgan Parra;Clermont Auvergne
26;FR270559593407;41.0;15;10;End of first half;;
26;FR270559593407;40.0;15;10;Start of second half;;
26;FR270559593407;51.0;15;10;Substitute off;Facundo Bosch;La Rochelle
26;FR270559593407;51.0;15;10;Substitute on;Pierre Bourgarit;La Rochelle
26;FR270559593407;51.0;15;10;Substitute off;Remi Bourdeau;La Rochelle
26;FR270559593407;51.0;15;10;Substitute on;Gregory Alldritt;La Rochelle
26;FR270559593407;53.0;15;10;Substitute off;Sipili Falatea;Clermont Auvergne
26;FR270559593407;53.0;15;10;Substitute on;Cristian Ojovan;Clermont Auvergne
26;FR270559593407;53.0;20;10;Try;George Moala;Clermont Auvergne
26;FR270559593407;54.0;22;10;Conversion;Morgan Parra;Clermont Auvergne
26;FR270559593407;55.0;22;10;Substitute on;Darren Sweetnam;La Rochelle
26;FR270559593407;55.0;22;10;Substitute off;Tawera Kerr-Barlow;La Rochelle
26;FR270559593407;57.0;22;15;Try;Gregory Alldritt;La Rochelle
26;FR270559593407;58.0;22;17;Conversion;Jules Lebail;La Rochelle
26;FR270559593407;58.0;22;17;Substitute on;Jules Favre;La Rochelle
26;FR270559593407;58.0;22;17;Substitute off;Geoffrey Doumayrou;La Rochelle
26;FR270559593407;58.0;22;17;Substitute off;Apisai Naqalevu;Clermont Auvergne
26;FR270559593407;58.0;22;17;Substitute on;Tim Nanai-Williams;Clermont Auvergne
26;FR270559593407;61.0;22;17;Substitute off;Uini Atonio;La Rochelle
26;FR270559593407;61.0;22;17;Substitute on;Arthur Joly;La Rochelle
26;FR270559593407;65.0;25;17;Penalty goal;Morgan Parra;Clermont Auvergne
26;FR270559593407;65.0;25;17;Substitute on;Sébastien Bézy;Clermont Auvergne
26;FR270559593407;65.0;25;17;Substitute off;Morgan Parra;Clermont Auvergne
26;FR270559593407;65.0;25;17;Substitute off;Peni Ravai Kovekalou;Clermont Auvergne
26;FR270559593407;65.0;25;17;Substitute on;Daniel Bibi Biziwu;Clermont Auvergne
26;FR270559593407;65.0;25;17;Substitute off;Thomas Lavault;La Rochelle
26;FR270559593407;65.0;25;17;Substitute on;Mathieu Tanguy;La Rochelle
26;FR270559593407;65.0;25;17;Substitute off;Kevin Gourdon;La Rochelle
26;FR270559593407;65.0;25;17;Substitute on;Zeno Kieft;La Rochelle
26;FR270559593407;70.0;25;17;Substitute off;Alexandre Fischer;Clermont Auvergne
26;FR270559593407;70.0;25;17;Substitute on;Thibaud Lanen;Clermont Auvergne
26;FR270559593407;70.0;25;17;Substitute on;Miles Amatosero;Clermont Auvergne
26;FR270559593407;70.0;25;17;Substitute off;Paul Jedrasiak;Clermont Auvergne
26;FR270559593407;79.0;25;17;Substitute on;Facundo Bosch;La Rochelle
26;FR270559593407;79.0;25;17;Substitute off;Pierre Bourgarit;La Rochelle
26;FR270559593407;79.0;25;20;Penalty goal;Jules Lebail;La Rochelle
26;FR270559593407;79.0;25;20;Substitute on;Peter Betham;Clermont Auvergne
26;FR270559593407;79.0;25;20;Substitute off;Alivereti Raka;Clermont Auvergne
26;FR270559593407;79.0;25;20;Substitute off;Will Skelton;La Rochelle
26;FR270559593407;79.0;25;20;Substitute on;Thomas Lavault;La Rochelle
26;FR270559593407;81.0;25;20;End of second half;;
26;FR270559593408;1.0;0;0;Start of first half;;
26;FR270559593408;19.0;5;0;Try;Josua Tuisova;Lyon
26;FR270559593408;21.0;7;0;Conversion;Jonathan Wisniewski;Lyon
26;FR270559593408;26.0;12;0;Try;Temo Mayanavanua;Lyon
26;FR270559593408;28.0;14;0;Conversion;Jonathan Wisniewski;Lyon
26;FR270559593408;38.0;19;0;Try;Demba Bamba;Lyon
26;FR270559593408;46.0;19;0;Substitute off;Loris Zarantonello;Agen
26;FR270559593408;46.0;19;0;Substitute on;Gael Doms;Agen
26;FR270559593408;44.0;24;0;Try;Dylan Cretin;Lyon
26;FR270559593408;44.0;24;0;End of first half;;
26;FR270559593408;40.0;24;0;Start of second half;;
26;FR270559593408;42.0;29;0;Try;Baptiste Couilloud;Lyon
26;FR270559593408;43.0;31;0;Conversion;Jonathan Wisniewski;Lyon
26;FR270559593408;46.0;31;0;Substitute off;Yoan Cottin;Agen
26;FR270559593408;46.0;31;0;Substitute on;Dorian Bellot;Agen
26;FR270559593408;46.0;31;0;Substitute on;Killian Geraci;Lyon
26;FR270559593408;46.0;31;0;Substitute off;Felix Lambey;Lyon
26;FR270559593408;46.0;31;0;Substitute on;Hamza Kaabeche;Lyon
26;FR270559593408;46.0;31;0;Substitute off;Vivien Devisme;Lyon
26;FR270559593408;50.0;31;0;Substitute on;Ethan Dumortier;Lyon
26;FR270559593408;50.0;31;0;Substitute off;Josua Tuisova;Lyon
26;FR270559593408;51.0;36;0;Try;Ethan Dumortier;Lyon
26;FR270559593408;52.0;38;0;Conversion;Jonathan Wisniewski;Lyon
26;FR270559593408;53.0;38;0;Substitute off;Baptiste Couilloud;Lyon
26;FR270559593408;53.0;38;0;Substitute on;Jonathan Pelissie;Lyon
26;FR270559593408;53.0;38;0;Substitute on;Mickael Ivaldi;Lyon
26;FR270559593408;53.0;38;0;Substitute off;Joe Taufete'e;Lyon
26;FR270559593408;53.0;38;0;Substitute off;Killian Geraci;Lyon
26;FR270559593408;53.0;38;0;Substitute on;Felix Lambey;Lyon
26;FR270559593408;53.0;38;0;Substitute on;Hans Lombard-Buret;Agen
26;FR270559593408;53.0;38;0;Substitute off;Gael Doms;Agen
26;FR270559593408;53.0;38;0;Substitute on;Hugo Ndiaye;Lyon
26;FR270559593408;53.0;38;0;Substitute off;Demba Bamba;Lyon
26;FR270559593408;53.0;38;0;Substitute off;Jeremy Jordaan;Agen
26;FR270559593408;53.0;38;0;Substitute on;Timilai Rokoduru;Agen
26;FR270559593408;53.0;38;0;Substitute on;Mickael Guillard;Lyon
26;FR270559593408;53.0;38;0;Substitute off;Colby Fainga'a;Lyon
26;FR270559593408;56.0;38;0;Substitute off;Malino Vanai;Agen
26;FR270559593408;56.0;38;0;Substitute on;Martin Augeix;Agen
