MATCH_ID;SAISON_ID;COMPETITION_ID;HOME_TEAM;AWAY_TEAM;HOME_SCORE;AWAY_SCORE
FR270559593405;20202021;270559;Bayonne;Stade Francais Paris;9;12
FR270559593406;20202021;270559;Castres Olympique;Toulon;46;24
FR270559593407;20202021;270559;Clermont Auvergne;La Rochelle;25;20
FR270559593408;20202021;270559;Lyon;Agen;52;7
FR270559593409;20202021;270559;Pau;Montpellier Herault;41;25
FR270559593410;20202021;270559;Racing 92;Brive;55;12
FR270559593411;20202021;270559;Bordeaux Begles;Stade Toulousain;10;21
FR270559593405;20202021;270559;Bayonne;Stade Francais Paris;9;12
FR270559593406;20202021;270559;Castres Olympique;Toulon;46;24
FR270559593407;20202021;270559;Clermont Auvergne;La Rochelle;25;20
FR270559593408;20202021;270559;Lyon;Agen;52;7
FR270559593409;20202021;270559;Pau;Montpellier Herault;41;25
FR270559593410;20202021;270559;Racing 92;Brive;55;12
FR270559593411;20202021;270559;Bordeaux Begles;Stade Toulousain;10;21
FR270559593403;20202021;270559;Stade Francais Paris;Lyon;46;27
FR270559593398;20202021;270559;Toulon;Bordeaux Begles;25;19
FR270559593399;20202021;270559;Agen;Racing 92;14;54
FR270559593400;20202021;270559;Brive;Castres Olympique;28;33
FR270559593401;20202021;270559;La Rochelle;Pau;51;27
FR270559593402;20202021;270559;Montpellier Herault;Bayonne;23;19
FR270559593404;20202021;270559;Stade Toulousain;Clermont Auvergne;36;27
FR270559593395;20202021;270559;Pau;Racing 92;29;35
FR270559593391;20202021;270559;Bordeaux Begles;Castres Olympique;20;16
FR270559593392;20202021;270559;La Rochelle;Agen;59;0
FR270559593393;20202021;270559;Lyon;Brive;24;7
FR270559593394;20202021;270559;Stade Francais Paris;Montpellier Herault;32;10
FR270559593396;20202021;270559;Stade Toulousain;Bayonne;28;32
FR270559593397;20202021;270559;Clermont Auvergne;Toulon;25;16
FR270559593388;20202021;270559;Castres Olympique;Lyon;37;29
FR270559593384;20202021;270559;Racing 92;Clermont Auvergne;45;19
FR270559593385;20202021;270559;Agen;Pau;7;47
FR270559593386;20202021;270559;Bayonne;Bordeaux Begles;22;47
FR270559593387;20202021;270559;Brive;Stade Francais Paris;28;31
FR270559593389;20202021;270559;Montpellier Herault;La Rochelle;32;22
FR270559593390;20202021;270559;Toulon;Stade Toulousain;44;10
FR270559593377;20202021;270559;Lyon;Clermont Auvergne;41;30
FR270559593382;20202021;270559;Stade Francais Paris;Pau;46;32
FR270559593378;20202021;270559;Stade Toulousain;Racing 92;34;16
FR270559593379;20202021;270559;Bayonne;Castres Olympique;23;26
FR270559593383;20202021;270559;Toulon;Agen;34;17
FR270559593381;20202021;270559;Brive;La Rochelle;24;12
FR270559593380;20202021;270559;Bordeaux Begles;Montpellier Herault;57;9
FR270559593376;20202021;270559;Pau;Bayonne;43;33
FR270559593373;20202021;270559;Castres Olympique;Stade Toulousain;26;24
FR270559593375;20202021;270559;La Rochelle;Lyon;38;23
FR270559593370;20202021;270559;Racing 92;Stade Francais Paris;29;35
FR270559593374;20202021;270559;Clermont Auvergne;Brive;37;27
FR270559593371;20202021;270559;Montpellier Herault;Toulon;29;10
FR270559593372;20202021;270559;Agen;Bordeaux Begles;3;49
