MATCH_ID;TEAM;PLAYER;T;TA;CG;PG;DGC;PTS;P;R;MR;CB;DB;O;TC;MT;LW;PC;YC;RC
FR270559593405;Bayonne;Gaetan Germain;0;0;0;3;0;9;2;9;72;1;2;1;1;0;0;1;0;0
FR270559593405;Bayonne;Remy Baget;0;0;0;0;0;0;3;1;1;0;0;0;0;2;0;0;0;0
FR270559593405;Bayonne;Theo Costosseque;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
FR270559593405;Bayonne;Peyo Muscarditz;0;0;0;0;0;0;1;4;13;0;1;0;1;3;1;0;0;0
FR270559593405;Bayonne;Aymeric Luc;0;0;0;0;0;0;4;2;8;0;1;0;1;3;0;0;0;0
FR270559593405;Bayonne;Manuel Ordas;0;0;0;0;0;0;7;3;6;0;1;0;1;0;1;0;0;0
FR270559593405;Bayonne;Michael Ruru;0;0;0;0;0;0;7;2;3;0;0;0;0;0;0;0;0;0
FR270559593405;Bayonne;Ugo Boniface;0;0;0;0;0;0;0;1;1;0;1;0;0;2;0;1;0;0
FR270559593405;Bayonne;John J. Ulugia;0;0;0;0;0;0;0;1;0;0;0;0;1;1;7;1;0;0
FR270559593405;Bayonne;Samuel John Nixon;0;0;0;0;0;0;1;1;3;0;0;1;0;1;0;1;0;0
FR270559593405;Bayonne;Mariano Tomas Galarza;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0
FR270559593405;Bayonne;Guillaume Ducat;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
FR270559593405;Bayonne;Asier Usarraga;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0
FR270559593405;Bayonne;Arnaud Duputs;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;3;0;0
FR270559593405;Bayonne;Afaesetiti Amosa;0;0;0;0;0;0;0;10;25;0;0;0;0;2;0;0;0;0
FR270559593405;Bayonne;Torsten George van Jaarsveld;0;0;0;0;0;0;0;3;20;0;0;0;0;0;1;1;0;0
FR270559593405;Bayonne;Swan Cormenier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593405;Bayonne;Konstantine Mikautadze;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0
FR270559593405;Bayonne;Jean Monribot;0;0;0;0;0;0;1;4;13;0;0;1;0;1;0;0;0;0
FR270559593405;Bayonne;Guillaume Guy Rouet Piffard;0;0;0;0;0;0;25;7;19;0;2;1;2;2;0;2;0;0
FR270559593405;Bayonne;Yan Lestrade;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0
FR270559593405;Bayonne;Filimo Taofifenua;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
FR270559593405;Bayonne;Luc Mousset;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
FR270559593405;Stade Francais Paris;Kylan Hamdaoui;0;0;0;0;0;0;5;11;139;1;1;0;1;0;0;0;0;0
FR270559593405;Stade Francais Paris;Sefanaia Naivalu;0;0;0;0;0;0;0;4;21;0;1;0;2;1;0;0;0;0
FR270559593405;Stade Francais Paris;Waisea Nayacalevu Vuidravuwalu;0;0;0;0;0;0;4;10;58;1;2;1;1;0;0;0;0;0
FR270559593405;Stade Francais Paris;Jonathan Danty;0;0;0;0;0;0;1;10;15;0;5;0;2;1;0;0;0;0
FR270559593405;Stade Francais Paris;Koloti Telusa Pelaki Veainu;0;0;0;0;0;0;3;6;18;0;1;1;4;1;0;0;0;0
FR270559593405;Stade Francais Paris;Joris Segonds;0;0;0;4;0;12;20;7;39;0;1;0;0;0;0;1;0;0
FR270559593405;Stade Francais Paris;James Hall;0;0;0;0;0;0;45;3;13;0;2;0;1;0;0;0;0;0
FR270559593405;Stade Francais Paris;Moses Alo-Emile;0;0;0;0;0;0;2;4;3;0;0;2;0;0;0;1;0;0
FR270559593405;Stade Francais Paris;Silatolu Latu;0;0;0;0;0;0;7;11;32;2;2;0;0;0;18;1;0;0
FR270559593405;Stade Francais Paris;Paul Alo-Emile;0;0;0;0;0;0;1;6;9;0;0;0;1;2;0;1;0;0
FR270559593405;Stade Francais Paris;Paul Gabrillagues;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0
FR270559593405;Stade Francais Paris;Yoann Maestri;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
FR270559593405;Stade Francais Paris;Antoine Burban;0;0;0;0;0;0;2;3;3;0;0;0;1;0;0;1;0;0
FR270559593405;Stade Francais Paris;Pablo N. Matera;0;0;0;0;0;0;5;19;32;0;4;1;0;0;0;1;0;0
FR270559593405;Stade Francais Paris;Sekou Macalou;0;0;0;0;0;0;8;5;54;1;0;1;3;2;0;1;0;0
FR270559593405;Stade Francais Paris;Lucas Da Silva;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
FR270559593405;Stade Francais Paris;Vasil Kakovin;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
FR270559593405;Stade Francais Paris;Pierre-Henri Azagoh;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0
FR270559593405;Stade Francais Paris;Loic Godener;0;0;0;0;0;0;2;2;3;0;0;0;0;0;0;1;0;0
FR270559593405;Stade Francais Paris;Arthur Coville;0;0;0;0;0;0;29;1;4;0;0;0;1;0;0;0;0;0
FR270559593405;Stade Francais Paris;Adrien Lapegue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593405;Stade Francais Paris;Mathieu De Giovanni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593405;Stade Francais Paris;Giorgi Melikidze;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593406;Castres Olympique;Julien Dumora;0;0;0;0;0;0;8;6;49;2;0;1;0;0;0;1;0;0
FR270559593406;Castres Olympique;Geoffrey Palis;1;0;0;0;0;5;3;6;19;1;0;0;2;0;1;0;0;0
FR270559593406;Castres Olympique;Thomas Combezou;1;0;0;0;0;5;5;10;55;2;1;1;1;1;0;1;0;0
FR270559593406;Castres Olympique;Vilimoni Botitu;0;0;0;0;0;0;4;4;4;1;1;1;0;0;0;0;0;0
FR270559593406;Castres Olympique;Filipo Nakosi;1;0;0;0;0;5;2;6;107;1;3;0;1;0;0;0;0;0
FR270559593406;Castres Olympique;Benjamin Maria Urdapilleta;2;1;5;2;0;26;15;4;34;0;1;0;0;0;0;0;0;0
FR270559593406;Castres Olympique;Rory Michael Kockott;0;1;0;0;0;0;39;2;0;0;0;0;1;1;0;0;0;0
FR270559593406;Castres Olympique;Antoine Tichit;0;0;0;0;0;0;0;2;2;0;0;0;1;1;0;1;0;0
FR270559593406;Castres Olympique;Gaetan Barlot;1;0;0;0;0;5;3;10;56;2;6;1;0;1;11;0;0;0
FR270559593406;Castres Olympique;Wilfrid Hounkpatin;0;0;0;0;0;0;0;4;6;0;0;0;0;1;0;1;0;0
FR270559593406;Castres Olympique;Florent Vanverberghe;0;0;0;0;0;0;1;7;12;0;1;0;0;1;0;0;0;0
FR270559593406;Castres Olympique;Tom Staniforth;0;0;0;0;0;0;1;4;4;0;0;0;0;0;0;0;0;0
FR270559593406;Castres Olympique;Mathieu Babillot;0;0;0;0;0;0;1;6;25;1;1;1;0;2;0;2;0;0
FR270559593406;Castres Olympique;Tyler James Ardron;0;1;0;0;0;0;6;8;31;1;0;1;1;0;0;1;0;0
FR270559593406;Castres Olympique;Anthony Jelonch;0;0;0;0;0;0;1;13;77;0;4;0;0;0;0;0;0;0
FR270559593406;Castres Olympique;Paula Mark Ngauamo;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
FR270559593406;Castres Olympique;Julius Nostadt;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0
FR270559593406;Castres Olympique;Loic Jacquet;0;0;0;0;0;0;2;2;6;1;0;0;0;1;0;1;0;0
FR270559593406;Castres Olympique;Baptiste Delaporte;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
FR270559593406;Castres Olympique;Maama Vaipulu;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
FR270559593406;Castres Olympique;Santiago Arata;0;0;0;0;0;0;15;3;22;1;2;0;0;1;0;0;0;0
FR270559593406;Castres Olympique;Adrea Cocagi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593406;Castres Olympique;Levan Chilachava;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593406;Toulon;Gervais Cordin;0;0;0;0;0;0;2;7;31;1;1;1;1;1;0;1;0;0
FR270559593406;Toulon;Masivesi Dakuwaqa;0;0;0;0;0;0;1;5;20;1;4;1;0;1;0;0;0;0
FR270559593406;Toulon;Isaia Toeava;0;0;0;0;0;0;3;1;18;0;0;1;0;3;0;2;0;0
FR270559593406;Toulon;Julien Heriteau;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0
FR270559593406;Toulon;Gabin Villiere;0;0;0;0;0;0;1;4;22;0;2;1;0;0;1;0;0;0
FR270559593406;Toulon;Louis Carbonel;1;1;3;1;0;14;6;2;34;1;0;0;1;2;0;0;0;0
FR270559593406;Toulon;Baptiste Serin;0;1;0;0;0;0;32;2;25;1;1;0;0;1;0;0;0;0
FR270559593406;Toulon;Jean-Baptiste Gros;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0
FR270559593406;Toulon;Anthony Etrillard;0;0;0;0;0;0;0;6;5;0;0;0;1;0;5;3;1;0
FR270559593406;Toulon;Beka Gigashvili;0;0;0;0;0;0;0;6;2;0;0;0;0;2;1;1;0;0
FR270559593406;Toulon;Eben Etzebeth;1;0;0;0;0;5;0;3;24;1;1;0;1;1;0;2;0;0
FR270559593406;Toulon;Romain Taofifenua;1;0;0;0;0;5;1;4;6;0;0;0;0;1;0;0;0;0
FR270559593406;Toulon;Swan Rebbadj;0;0;0;0;0;0;1;4;3;0;0;0;2;0;0;2;0;0
FR270559593406;Toulon;Charles Ollivon;0;0;0;0;0;0;0;2;20;1;0;0;0;0;0;0;0;0
FR270559593406;Toulon;Facundo Isa;0;0;0;0;0;0;3;13;38;0;1;1;2;5;0;1;0;0
FR270559593406;Toulon;Bastien Soury;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
FR270559593406;Toulon;Florian Fresia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593406;Toulon;Adrien Warion;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
FR270559593406;Toulon;Raphael Lakafia;0;0;0;0;0;0;1;8;19;0;0;0;0;0;0;0;0;0
FR270559593406;Toulon;Julien Ory;0;0;0;0;0;0;1;3;5;0;0;0;0;0;0;0;0;0
FR270559593406;Toulon;Anthony Belleau;0;0;0;0;0;0;3;1;3;0;0;0;0;1;0;0;0;0
FR270559593406;Toulon;Sonatane Takulua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593406;Toulon;Sebastien Taofifenua;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0
FR270559593407;Clermont Auvergne;Kotaro Munyaradzi Matsushima;0;0;0;0;0;0;3;7;49;0;3;0;1;1;1;0;0;0
FR270559593407;Clermont Auvergne;Damian Penaud;0;0;0;0;0;0;2;6;11;0;5;0;0;5;0;0;0;0
FR270559593407;Clermont Auvergne;George Moala;1;0;0;0;0;5;4;7;45;1;4;1;0;1;0;0;0;0
FR270559593407;Clermont Auvergne;Apisai Naqalevu;0;0;0;0;0;0;1;4;24;1;1;0;1;1;0;0;0;0
FR270559593407;Clermont Auvergne;Ratu Alivereti Raka;0;1;0;0;0;0;2;6;40;2;1;1;2;2;0;1;0;0
FR270559593407;Clermont Auvergne;Camille Lopez;0;0;0;0;0;0;22;3;2;0;0;1;2;2;0;1;0;0
FR270559593407;Clermont Auvergne;Morgan R. Jules Parra;0;0;1;6;0;20;45;3;1;0;0;0;2;1;0;0;0;0
FR270559593407;Clermont Auvergne;Peni Ravai Kovekalou;0;0;0;0;0;0;1;8;27;0;3;0;1;0;0;1;0;0
FR270559593407;Clermont Auvergne;Etienne Fourcade;0;0;0;0;0;0;4;10;40;0;2;0;1;1;9;0;0;0
FR270559593407;Clermont Auvergne;Sipili Falatea;0;0;0;0;0;0;1;5;16;0;1;1;1;0;0;2;0;0
FR270559593407;Clermont Auvergne;Peceli Yato Senibitu;0;0;0;0;0;0;1;4;24;1;1;1;0;2;0;1;0;0
FR270559593407;Clermont Auvergne;Paul Jedrasiak;0;0;0;0;0;0;3;6;37;2;1;0;2;0;0;0;0;0
FR270559593407;Clermont Auvergne;Judicael Cancoriet;0;0;0;0;0;0;3;4;16;0;0;1;1;0;0;0;0;0
FR270559593407;Clermont Auvergne;Alexandre Fischer;0;0;0;0;0;0;0;4;7;0;0;0;1;2;0;0;0;0
FR270559593407;Clermont Auvergne;Fritz Lee;0;0;0;0;0;0;8;16;32;0;2;0;0;1;0;0;0;0
FR270559593407;Clermont Auvergne;http://en.espn.co.uk/scrum/rugby/player/37388.html?source=opta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593407;Clermont Auvergne;Daniel Bibi Biziwu;0;0;0;0;0;0;0;2;2;0;1;0;0;1;0;0;0;0
FR270559593407;Clermont Auvergne;Miles Amatosero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
FR270559593407;Clermont Auvergne;Thibaud Lanen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593407;Clermont Auvergne;Sebastien Bezy;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
FR270559593407;Clermont Auvergne;Tavaefaga Timothy Nanai-Williams;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0
FR270559593407;Clermont Auvergne;Peter Junior Joshua Betham;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FR270559593407;Clermont Auvergne;Cristian Ojovan;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0
FR270559593407;La Rochelle;Brice Dulin;0;0;0;0;0;0;6;10;56;0;1;1;2;0;0;0;0;0
FR270559593407;La Rochelle;Dillyn Yullrich Leyds;1;0;0;0;0;5;18;2;13;1;0;0;0;2;0;0;0;0
FR270559593407;La Rochelle;Raymond Kofi Rhule;0;1;0;0;0;0;8;8;49;1;5;0;1;2;0;2;0;0
FR270559593407;La Rochelle;Geoffrey Doumayrou;0;0;0;0;0;0;3;2;8;0;1;0;1;2;0;0;0;0
FR270559593407;La Rochelle;Arthur Joel Retiere;0;0;0;0;0;0;2;5;47;2;2;0;1;3;0;0;0;0
FR270559593407;La Rochelle;Jules Lebail;0;0;2;2;0;10;39;1;0;0;1;0;2;0;0;0;0;0
FR270559593407;La Rochelle;Tawera Narada James Kerr-Barlow;0;0;0;0;0;0;26;5;6;0;1;1;0;1;0;1;0;0
FR270559593407;La Rochelle;Reda Wardi;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
FR270559593407;La Rochelle;Facundo Bosch;0;0;0;0;0;0;1;5;41;1;3;1;1;1;8;0;0;0
FR270559593407;La Rochelle;Uini Atonio;0;0;0;0;0;0;0;4;10;0;0;0;0;2;0;2;0;0
FR270559593407;La Rochelle;Thomas Lavault;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0
FR270559593407;La Rochelle;William Reynolds Junior Skelton;0;0;0;0;0;0;5;8;8;0;0;2;1;0;0;0;0;0
FR270559593407;La Rochelle;Remi Bourdeau;0;0;0;0;0;0;0;2;11;0;0;0;1;2;0;1;0;0
FR270559593407;La Rochelle;Wian Liebenberg;0;0;0;0;0;0;2;6;25;0;2;0;1;3;0;1;0;0
FR270559593407;La Rochelle;Kevin Gourdon;0;0;0;0;0;0;5;5;4;0;1;0;2;0;1;0;0;0
FR270559593407;La Rochelle;Pierre Bourgarit;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;0;0
FR270559593407;La Rochelle;Dany Priso;0;0;0;0;0;0;0;4;0;0;0;0;1;1;0;0;0;0
FR270559593407;La Rochelle;Mathieu Tanguy;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
FR270559593407;La Rochelle;Gregory Alldritt;1;0;0;0;0;5;4;5;31;1;3;0;1;0;0;1;0;0
FR270559593407;La Rochelle;Zeno Kieft;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
FR270559593407;La Rochelle;Jules Favre;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
FR270559593407;La Rochelle;Darren Sweetnam;0;0;0;0;0;0;1;3;15;0;0;1;0;1;0;0;0;0
FR270559593407;La Rochelle;Arthur Joly;0;0;0;0;0;0;1;3;1;0;0;0;0;2;0;0;0;0
FR270559593408;Lyon;Leo Berdeu;0;2;1;0;0;2;13;13;106;4;4;2;1;1;0;0;0;0
FR270559593408;Lyon;Toby Arnold;0;0;0;0;0;0;10;10;72;3;4;2;1;3;0;0;0;0
FR270559593408;Lyon;Pierre-Louis Barassi;0;2;0;0;0;0;8;10;67;3;2;5;1;1;0;1;0;0
FR270559593408;Lyon;Charlie James Ngatai;0;0;0;0;0;0;14;5;62;1;0;0;0;1;1;0;0;0
FR270559593408;Lyon;Josua Tuisova Ratulevu;1;0;0;0;0;5;4;5;36;2;2;0;2;0;0;0;0;0
FR270559593408;Lyon;Jonathan Wisniewski;1;0;5;0;0;15;20;5;6;1;0;0;0;0;0;0;0;0
FR270559593408;Lyon;Baptiste Amedee Couilloud;1;1;0;0;0;5;42;8;57;4;2;3;1;0;0;0;0;0
FR270559593408;Lyon;Vivien Devisme;0;0;0;0;0;0;0;1;2;0;0;0;2;1;0;2;0;0
FR270559593408;Lyon;Joseph Soosemea Taufete'e;0;0;0;0;0;0;2;4;1;1;0;0;0;1;6;1;0;0
FR270559593408;Lyon;Demba Bamba;1;0;0;0;0;5;1;4;27;0;2;1;0;0;0;0;0;0
FR270559593408;Lyon;Felix Lambey;0;0;0;0;0;0;5;5;3;0;0;0;1;1;0;0;0;0
FR270559593408;Lyon;Temo Mayanavanua;1;0;0;0;0;5;2;6;21;1;1;0;3;0;0;0;0;0
FR270559593408;Lyon;Dylan Cretin;1;0;0;0;0;5;3;6;34;2;0;2;1;1;0;0;0;0
FR270559593408;Lyon;Colby Fainga'a;0;0;0;0;0;0;5;8;40;0;0;0;0;1;0;0;0;0
FR270559593408;Lyon;Loann Goujon;0;1;0;0;0;0;6;6;29;2;0;1;0;0;0;0;0;0
FR270559593408;Lyon;Mickael Ivaldi;0;0;0;0;0;0;1;1;0;0;0;0;2;1;3;1;0;0
FR270559593408;Lyon;Hamza Kaabeche;0;0;0;0;0;0;3;3;0;0;0;1;0;0;0;0;0;0
FR270559593408;Lyon;Killian Geraci;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
FR270559593408;Lyon;Mickael Guillard;0;0;0;0;0;0;1;2;0;0;1;1;0;1;0;0;0;0
