MATCH_ID;TEAM;POSSESSION_1H;POSSESSION_2H;TERRITORY_1H;TERRITORY_2H;CLEAN_BREAKS;DEFENDERS_BEATEN;OFFLOAD;RUCK_WON_NB;RUCK_WON_PCT;MAUL_WON_NB;MAUL_WON_PCT;TURNOVERS_CONDEDED;SCRUM_WON_NB;SCRUM_WON_PCT;LINEOUT_WON_NB;LINEOUT_WON_PCT
FR270559593405;Bayonne;43.0;37.0;40.0;31.0;1;8;5;40;86.0;2;50.0;9;4;44.0;10;66.0
FR270559593405;Stade Francais Paris;57.0;63.0;60.0;69.0;5;19;7;75;93.0;4;80.0;17;5;83.0;18;100.0
FR270559593406;Castres Olympique;70.0;38.0;78.0;34.0;13;20;6;80;98.0;6;100.0;7;1;100.0;14;87.0
FR270559593406;Toulon;30.0;62.0;22.0;66.0;6;10;5;63;95.0;4;100.0;9;5;83.0;7;100.0
FR270559593407;Clermont Auvergne;59.0;50.0;61.0;50.0;7;25;6;73;93.0;5;100.0;15;5;100.0;10;90.0
FR270559593407;La Rochelle;41.0;50.0;39.0;50.0;6;20;6;63;95.0;5;100.0;18;5;71.0;11;64.0
FR270559593408;Lyon;57.0;34.0;62.0;31.0;26;22;19;55;98.0;4;100.0;18;5;100.0;10;66.0
FR270559593408;Agen;42.0;66.0;38.0;69.0;13;17;16;68;91.0;2;66.0;15;13;100.0;12;75.0
FR270559593409;Pau;65.0;59.0;70.0;56.0;15;31;13;83;97.0;6;75.0;13;5;71.0;11;100.0
FR270559593409;Montpellier Herault;35.0;41.0;30.0;44.0;8;25;9;56;100.0;2;40.0;11;3;75.0;8;61.0
FR270559593410;Racing 92;48.0;66.0;44.0;70.0;18;31;10;74;94.0;6;85.0;13;1;33.0;11;91.0
FR270559593410;Brive;52.0;34.0;56.0;30.0;1;15;6;50;89.0;2;50.0;9;7;77.0;10;83.0
