MATCH_ID;SAISON_ID;COMPETITION_ID;MATCHDAY;HOME_TEAM;AWAY_TEAM;HOME_SCORE;AWAY_SCORE;STADIUM;DATE_TIME;DATE_DAY
FR270559594206;['2021/2022'];FR270559;['24'];Perpignan;Brive;27.0;10.0;Stade Aime Giral;11:00 AM;April 30 2022
FR270559594205;['2021/2022'];FR270559;['24'];Stade Toulousain;La Rochelle;23.0;16.0;Stadium de Toulouse;3:05 PM;April 30 2022
FR270559594204;['2021/2022'];FR270559;['24'];Pau;Racing 92;21.0;42.0;Stade du Hameau;11:00 AM;April 30 2022
FR270559594203;['2021/2022'];FR270559;['24'];Lyon;Montpellier Herault;43.0;20.0;Matmut Stadium de Gerland;9:00 AM;April 30 2022
FR270559594202;['2021/2022'];FR270559;['24'];Bordeaux Begles;Toulon;16.0;29.0;Stade Chaban-Delmas;3:05 PM;May 1 2022
FR270559594201;['2021/2022'];FR270559;['24'];Biarritz Olympique;Castres Olympique;13.0;48.0;Parc des Sports Aguilera;11:00 AM;April 30 2022
FR270559594200;['2021/2022'];FR270559;['24'];Clermont Auvergne;Stade Francais Paris;29.0;26.0;Stade Marcel Michelin;11:00 AM;April 30 2022
FR270559594199;['2021/2022'];FR270559;['23'];La Rochelle;Perpignan;32.0;16.0;Stade Marcel-Deflandre;11:15 AM;April 23 2022
FR270559594198;['2021/2022'];FR270559;['23'];Stade Francais Paris;Pau;21.0;18.0;Stade Jean Bouin;8:15 AM;April 23 2022
FR270559594197;['2021/2022'];FR270559;['23'];Toulon;Stade Toulousain;19.0;15.0;Orange Velodrome;3:05 PM;April 23 2022
FR270559594196;['2021/2022'];FR270559;['23'];Racing 92;Biarritz Olympique;40.0;7.0;Paris La Defense Arena;11:15 AM;April 23 2022
FR270559594195;['2021/2022'];FR270559;['23'];Montpellier Herault;Bordeaux Begles;22.0;23.0;GGL Stadium;3:05 PM;April 24 2022
FR270559594194;['2021/2022'];FR270559;['23'];Castres Olympique;Clermont Auvergne;12.0;0.0;Stade Pierre Fabre;8:15 AM;April 23 2022
FR270559594193;['2021/2022'];FR270559;['23'];Brive;Lyon;17.0;31.0;Stade Amedee-Domenech;11:15 AM;April 23 2022
FR270559594192;['2021/2022'];FR270559;['22'];Perpignan;Montpellier Herault;13.0;23.0;Stade Aime Giral;11:00 AM;April 2 2022
FR270559594191;['2021/2022'];FR270559;['22'];Racing 92;Stade Francais Paris;53.0;20.0;Paris La Defense Arena;3:05 PM;April 3 2022
FR270559594190;['2021/2022'];FR270559;['22'];Lyon;Toulon;10.0;43.0;Matmut Stadium de Gerland;11:00 AM;April 2 2022
FR270559594189;['2021/2022'];FR270559;['22'];Castres Olympique;Stade Toulousain;19.0;13.0;Stade Pierre Fabre;9:00 AM;April 2 2022
FR270559594188;['2021/2022'];FR270559;['22'];Bordeaux Begles;La Rochelle;15.0;16.0;Stade Chaban-Delmas;3:05 PM;April 2 2022
FR270559594187;['2021/2022'];FR270559;['22'];Biarritz Olympique;Pau;19.0;42.0;Parc des Sports Aguilera;11:00 AM;April 2 2022
FR270559594186;['2021/2022'];FR270559;['22'];Clermont Auvergne;Brive;41.0;10.0;Stade Marcel Michelin;11:00 AM;April 2 2022
FR270559594185;['2021/2022'];FR270559;['21'];Stade Toulousain;Lyon;27.0;19.0;Stade Ernest-Wallon;3:05 PM;March 27 2022
