MATCH_ID;TEAM;POSSESSION_1H;POSSESSION_2H;TERRITORY_1H;TERRITORY_2H;CLEAN_BREAKS;DEFENDERS_BEATEN;OFFLOAD;RUCK_WON_NB;RUCK_WON_PCT;MAUL_WON_NB;MAUL_WON_PCT;TURNOVERS_CONDEDED;SCRUM_WON_NB;SCRUM_WON_PCT;LINEOUT_WON_NB;LINEOUT_WON_PCT;Try;Assist;Conversion;Penalty_goal;Drop_goal;Score_for;Passes;Run;Meters_run;Tackles;Missed_tackles;Penalties_conceded;Yellow_cards;Red_cards;Penalty_try;Score_against;Try_against;Penalty_try_against;Result;Bonus_point;Match_points
FR270559594206;Perpignan;46.0;46.0;53.0;68.0;5;24;7;73;93.0;3;75.0;8;4;80.0;11;78.0;3;1;3;2;0;27.0;136;100;402;122;20;15;1;0;0.0;10.0;1;0.0;W;0;4
FR270559594206;Brive;54.0;54.0;47.0;32.0;2;20;11;67;91.0;4;100.0;13;5;83.0;11;78.0;1;1;1;1;0;10.0;130;96;461;126;24;8;1;0;0.0;27.0;3;0.0;L;0;0
FR270559594205;Stade Toulousain;45.0;55.0;54.0;73.0;4;22;6;73;91.0;3;100.0;17;5;62.0;12;92.0;2;1;2;3;0;23.0;142;104;456;87;16;10;0;0;0.0;16.0;1;0.0;W;0;4
FR270559594205;La Rochelle;55.0;45.0;46.0;27.0;0;16;4;58;87.0;5;83.0;20;2;66.0;17;100.0;1;1;1;2;1;16.0;125;79;329;127;22;10;0;0;0.0;23.0;2;0.0;L;0;0
FR270559594204;Pau;36.0;33.0;46.0;55.0;5;17;3;33;82.0;5;100.0;10;2;25.0;13;92.0;2;2;1;3;0;21.0;90;51;296;169;29;14;3;0;0.0;42.0;5;0.0;L;0;0
FR270559594204;Racing 92;64.0;67.0;54.0;45.0;5;29;9;104;94.0;11;91.0;8;2;100.0;15;93.0;5;1;4;3;0;42.0;165;130;504;63;17;12;1;0;0.0;21.0;2;0.0;W;1;5
FR270559594203;Lyon;44.0;39.0;47.0;32.0;5;22;13;51;92.0;0;0.0;9;5;62.0;10;90.0;5;5;3;4;0;43.0;100;75;458;150;17;10;0;0;0.0;20.0;2;0.0;W;1;5
FR270559594203;Montpellier Herault;56.0;61.0;53.0;68.0;2;17;9;106;96.0;6;85.0;14;2;50.0;11;91.0;2;0;2;2;0;20.0;165;127;351;74;22;10;0;1;0.0;43.0;5;0.0;L;0;0
FR270559594202;Bordeaux Begles;51.0;59.0;64.0;58.0;2;20;7;70;95.0;6;100.0;22;1;50.0;12;85.0;0;0;0;3;0;16.0;161;101;358;73;10;10;0;0;1.0;29.0;2;0.0;L;0;0
FR270559594202;Toulon;49.0;41.0;36.0;42.0;2;10;2;41;91.0;6;100.0;13;7;77.0;16;80.0;2;1;2;5;0;29.0;77;56;173;126;20;9;1;0;0.0;16.0;0;1.0;W;0;4
